image,site,batch,usable,ai_answer_overlay,ai_overlay_text,ai_scene_type,ai_through_glass,ai_tourist_infrastructure,ai_quality,ai_usable,ai_why,human_verdict,human_reason,human_verified_by,human_note
streetview/amsterdam_church/1036250735319845.jpg,amsterdam_church,3,True,False,,street,False,False,4.0,True,"Clear street-level view with pavement, water, and buildings.",keep,,,
streetview/amsterdam_church/1260527888917214.jpg,amsterdam_church,3,False,False,,vehicle_interior,True,False,3.0,False,Vehicle interior with wipers visible; not a street-level view.,exclude,train driver's view,,
streetview/amsterdam_church/1368496277351683.jpg,amsterdam_church,3,False,False,AZDOME GS63H OUT 5/09/2023 09:49:55 31.71KM/H N: 52.37650 E: 4.89758,street,True,False,4.0,True,Clear dashcam street view with readable signs and buildings.,exclude,coordinate,,
streetview/amsterdam_natura/1962295973949585.jpg,amsterdam_natura,3,True,False,,street,False,False,4.0,True,"Clear street scene with pavement, trees, building, and cyclist.",keep,,,
streetview/amsterdam_natura/516373416038884.jpg,amsterdam_natura,3,True,False,,street,False,False,4.0,True,"Clear street-level view, no overlaid text, plenty of context.",keep,,,
streetview/amsterdam_vondelpark/1064584962512996.jpg,amsterdam_vondelpark,3,True,False,,street,False,False,5.0,True,sharp street view with abundant building context,keep,,,
streetview/amsterdam_vondelpark/2912452038996684.jpg,amsterdam_vondelpark,3,True,False,,street,False,False,5.0,True,"Sharp, clear street scene with abundant architectural and traffic context.",keep,,,
streetview/amsterdam_vondelpark/957434962934789.jpg,amsterdam_vondelpark,3,True,False,,street,False,False,4.0,True,"Clear park path with cyclists, trees, and building.",keep,,,
streetview/athens_kotzia/190729989566458.jpg,athens_kotzia,3,True,False,,street,False,False,4.0,True,"Clear street view with shops and cars, no overlaid text.",keep,,,
streetview/athens_kotzia/3244351749125094.jpg,athens_kotzia,3,False,False,,street,False,False,1.0,False,Image is extremely blurry with no discernible landmarks,exclude,,,
streetview/athens_kotzia/966259277470391.jpg,athens_kotzia,3,False,False,,street,False,False,4.0,True,Clear street view with distinct signage and kiosk.,exclude,very little information,,
streetview/athens_monastiraki/473678163913259.jpg,athens_monastiraki,3,True,False,,street,False,False,4.0,True,Clear street view with shop signs and surroundings.,keep,,,
streetview/athens_monastiraki/761084217906557.jpg,athens_monastiraki,3,False,False,,street,False,False,4.0,True,"Clear street view with architecture and signage, no overlays.",exclude,,,
streetview/athens_monastiraki/828209511434939.jpg,athens_monastiraki,3,True,False,,street,False,False,4.0,True,"Clear storefront and street context, no overlaid text.",keep,,,
streetview/athens_national/1143667572727383.jpg,athens_national,3,True,False,,street,False,False,4.0,True,"Clear street view with vehicles, buildings, and tram tracks.",keep,,,
streetview/athens_national/307476464197773.jpg,athens_national,3,False,False,,street,False,False,4.0,True,"Clear road scene with natural surroundings, no obstructions.",exclude,very little information,,
